nid,entity,freq,scene_count,gender,age,race
0652_000,AD,21,12,,,
0652_001,ALEXIS,8,3,F,,
0652_002,AMY BRANDT,8,2,F,,
0652_003,ASSISTANT,3,3,,,
0652_007,BOSS,6,2,,,
0652_009,CARLO,5,2,M,,
0652_010,CASTING DIRECTOR,4,1,F,,
0652_012,CUSTOMER,6,2,,,
0652_013,CUSTOMER #1,3,1,,,
0652_014,DAVID,7,6,M,,
0652_015,DIRECTOR,10,4,M,,
0652_017,EMPLOYEE,7,3,,,
0652_019,FIANCEE,3,1,F,,
0652_021,GREG,7,3,M,,
0652_022,HARRY,4,2,M,,
0652_023,JOSH,7,2,M,,
0652_024,KEITH,23,3,M,,
0652_025,LAURA,42,4,F,,
0652_026,MANAGER,8,3,,,
0652_027,MIA,260,49,F,,
0652_029,PA,48,39,,,
0652_030,PHOTOGRAPHER,7,1,M,,
0652_032,SAXOPHONIST,3,1,M,,
0652_033,SEBASTIAN,239,38,M,,
0652_034,SINGER,7,3,,,
0652_037,TRACY,15,3,F,,
0652_039,WINTER,2,2,,,
0652_040,WOMAN,13,7,F,,
0652_041,WOMAN #2,4,1,F,,
0652_048,MIA'S MOM,10,3,F,,
0652_050,MIA'S DAD,7,1,M,,